name,type,start_time,duration,"t","speedLimit","gear","driveMode","zeroStart","lightEnable","nSpeedMagnets","wheelDiameter","boostSensitivity","boostStrength","currentLimit","underVoltage","speed","cruiseEnable","powerMagnetType","CRC"
"FocanGZ3-TX","GZ3_TX",9.939552,0.037904,8.229880000000001,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",9.977677,0.01454,8.268004999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.049149,0.038008,8.339476999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.087325,0.014541,8.377653,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.159061,0.036862,8.449389,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.196945,0.014542,8.487273,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.268654,0.038009,8.558982,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.307626,0.01454,8.597954,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.378672,0.036865,8.669,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.416248,0.014541,8.706575999999998,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.488275,0.036552,8.778602999999999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.5259,0.014541,8.816227999999999,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.598297,0.036863,8.888625,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.635585,0.01454,8.925913000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.7079,0.035932,8.998228,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.744212,0.014541,9.03454,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.817822,0.034892,9.10815,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.852845,0.01454,9.143173,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",10.927535,0.036451,9.217863,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",10.964537,0.014539,9.254865,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.037453,0.035826,9.327781,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.074152,0.014541,9.36448,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.147056,0.036029,9.437383999999998,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.183812,0.014542,9.47414,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.25696,0.036449,9.547288,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.294495,0.014543,9.584823,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.366671,0.036552,9.656999,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.404156,0.014542,9.694484,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.47669,0.037905,9.767018,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.51487,0.014542,9.805198,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.586292,0.036034,9.87662,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.622482,0.014542,9.91281,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.696212,0.035412,9.98654,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.732143,0.014543,10.022471,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.805929,0.036453,10.096257,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.842828,0.014541,10.133156000000001,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",11.915851,0.036867,10.206179,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",11.953479,0.014542,10.243807,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.025463,0.036452,10.315791,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
"FocanGZ3-RX","GZ3_RX",12.062137,0.014541,10.352465,,,,,,,,,,,,,,,"151"
"FocanGZ3-TX","GZ3_TX",12.135389,0.036453,10.425717,"20","3","2","1","0","30","100","2","5","18","31.0","0","0","8","29"
